name,ring,quadrant,isNew,description
Model Versioning,Assess,Methods & Patterns,FALSE,Model Versioning is the practice of tracking and managing different versions of machine learning models to ensure reproducibility and control over model changes.
Saga,Assess,Methods & Patterns,FALSE,"Saga is a design pattern for managing distributed transactions across multiple microservices, ensuring data consistency and reliability."
THINK AGAIN,Assess,Methods & Patterns,FALSE,"THINK AGAIN is a concept suggesting a reconsideration or reevaluation of a decision or approach, often to improve or optimize the outcome."
Bash,Adopt,Software engineering,FALSE,Bash is a Unix shell and command language used in various Unix-like operating systems. It provides a command-line interface for interacting with the operating system and executing scripts.
Go,Adopt,Software engineering,FALSE,"Go (Golang) is a programming language developed by Google. It is known for its simplicity, efficiency, and strong support for concurrent programming."
Java,Adopt,Software engineering,FALSE,"Java is a popular, object-oriented programming language known for its portability and wide range of applications, from desktop software to web and mobile development."
Java Spring Boot,Adopt,Software engineering,FALSE,"Java Spring Boot is a framework for building Java-based, microservices and web applications. It simplifies development by providing pre-configured templates and tools."
PLSQL,Adopt,Software engineering,FALSE,PLSQL (Procedural Language for SQL) is Oracle's extension of SQL that allows developers to write procedural code within the database.
Python,Adopt,Software engineering,FALSE,"Python is a high-level programming language known for its readability, versatility, and extensive library support. It is used in various domains, including web development, data science, machine learning, automation, and scientific computing. Python is favored for its simplicity and community support."
SQL,Adopt,Software engineering,FALSE,"SQL (Structured Query Language) is a powerful and standardized programming language used for managing and manipulating relational databases. It allows users to define, retrieve, update, and manipulate data, as well as create and modify database structures. SQL is widely employed in various applications, making it an essential tool for data management and analysis in the field of database management and data-driven decision-making."
Terraform,Adopt,Software engineering,FALSE,"Terraform is an Infrastructure as Code (IaC) tool that enables users to provision and manage cloud resources and infrastructure using declarative configuration files. It is agnostic to cloud providers, allowing users to manage resources in various cloud environments consistently and efficiently."
Apache Superset,Asses,Software engineering,FALSE,Apache Superset is an Open Source data exploration and visualization platform with connectors for multiple data sources.
C,Asses,Software engineering,FALSE,C is a general-purpose programming language originally developed at Bell Labs. It is widely used for system programming and has influenced the development of many other programming languages.
GraphQL,Asses,Software engineering,FALSE,GraphQL is a query language for APIs that enables clients to request exactly the data they need and nothing more. It provides a more efficient and flexible way to interact with data.
Perl,Asses,Software engineering,FALSE,"Perl is a high-level, general-purpose programming language known for its text processing and scripting capabilities."
R,Asses,Software engineering,FALSE,R is a programming language and environment for statistical computing and data analysis. It is commonly used in data science and statistical modeling.
Scala,Asses,Software engineering,FALSE,"Scala is a high-level programming language that combines functional and object-oriented programming paradigms, often used for building scalable and concurrent systems."
Docker Swarm,Hold,Software engineering,FALSE,"Docker Swarm is Docker's native clustering and orchestration solution for managing a cluster of Docker nodes. It simplifies the deployment, scaling, and load balancing of containers across a cluster of machines."
Drools,Hold,Software engineering,FALSE,Drools is an open-source business rule management system that allows developers to create and manage business rules and logic in applications.
JavaScript,Hold,Software engineering,FALSE,"JavaScript is a widely used programming language primarily for web development, known for its role in client-side scripting and web interactivity."
.NET,Trial,Software engineering,FALSE,.NET is a software framework developed by Microsoft for building Windows applications and web services. It supports various programming languages and provides tools for developing a wide range of applications.
C#,Trial,Software engineering,FALSE,"C# (C-Sharp) is a modern, object-oriented programming language developed by Microsoft. It is commonly used for building Windows applications and is a key component of the .NET ecosystem."
Docker Compose,Trial,Software engineering,FALSE,"Docker Compose is a tool for defining and running multi-container Docker applications. It allows you to specify and configure all the services your application needs in a single YAML file, making it easier to manage complex containerized applications."
OpenAPI,Trial,Software engineering,FALSE,"OpenAPI is an open-source specification for designing, documenting, and developing RESTful APIs. It provides a standardized way to describe APIs and generate client SDKs."
OpenTelemetry,Trial,Software engineering,FALSE,"OpenTelemetry is an open-source project that provides a set of APIs, libraries, agents, and instrumentation to enable observability and monitoring of cloud-native applications."
Rust,Trial,Software engineering,FALSE,"Rust is a systems programming language known for its focus on safety, performance, and memory management without manual memory handling."
Hadoop,Assess,Software engineering,FALSE,"Apache Hadoop is a collection of open-source software utilities that facilitates using a network of many computers to solve problems involving massive amounts of data and computation. It provides a software framework for distributed storage and processing of big data using the MapReduce programming model. It is still relevant today and mostly for on premise processesing. While Cloud deployments exists, today better alternatives exist."
Amazon DynamoDB,Adopt,Tools & Platforms,FALSE,"Amazon DynamoDB is a fully managed NoSQL database service by AWS. It is designed for high-performance, low-latency, and scalable applications, making it suitable for various use cases."
Amazon EKS,Adopt,Tools & Platforms,FALSE,Amazon EKS is Amazon Elastic Kubernetes Service (EKS) is a managed Kubernetes service provided by AWS. It simplifies the deployment and management of containerized applications using Kubernetes orchestration.
Amazon KMS,Adopt,Tools & Platforms,FALSE,Amazon KMS is Amazon Key Management Service (KMS) is a fully managed service for creating and controlling encryption keys. It is used to secure data and resources on AWS by providing robust key management capabilities.
Amazon Lambda,Adopt,Tools & Platforms,FALSE,AWS Lambda is a serverless computing service offered by Amazon Web Services. It enables developers to run code in response to events without provisioning or managing servers.
Amazon RDS,Adopt,Tools & Platforms,FALSE,"Amazon RDS is Amazon Relational Database Service (RDS) is a managed database service on AWS. It supports multiple database engines like MySQL, PostgreSQL, and SQL Server, and simplifies database administration tasks."
Amazon Redshift,Adopt,Tools & Platforms,FALSE,Amazon Redshift is a fully managed data warehouse service in the AWS cloud. It is designed for high-performance querying and analysis of large datasets. Redshift is commonly used for data warehousing and business intelligence applications.
Amazon S3,Adopt,Tools & Platforms,FALSE,"Amazon S3 (Simple Storage Service) is an object storage service provided by Amazon Web Services. It is used for storing and retrieving data in the form of objects, making it a fundamental component for data storage, backup, and web hosting."
Amazon Step Functions,Adopt,Tools & Platforms,FALSE,"Amazon Step Functions is Amazon Step Functions is a serverless orchestration service that allows you to coordinate multiple AWS services into serverless workflows. It simplifies the creation of complex, event-driven applications."
Apache Airflow,Adopt,Tools & Platforms,FALSE,Industry standard orchestration and scheduling framework written in Python and maintained by Apache foundation. Version 2.0 was recently published with major improvements.
Apache Beam,Adopt,Tools & Platforms,FALSE,Apache Beam is an open-source unified data processing model and SDK that allows you to write batch and streaming data processing pipelines that can run on various data processing engines such as Apache Spark and Google Cloud Dataflow.
Apache Cassandra,Adopt,Tools & Platforms,FALSE,"Apache Cassandra is a NoSQL database management system known for its high scalability and fault-tolerance. It's used for handling massive amounts of data across multiple commodity servers, making it a popular choice for internet-scale applications."
Apache Kafka,Adopt,Tools & Platforms,FALSE,Open Source version of the number one streaming platform.
Azure AKS,Adopt,Tools & Platforms,FALSE,"Azure AKS is Microsoft Azure's managed Kubernetes service. It simplifies the deployment, management, and scaling of containerized applications using Kubernetes on the Azure cloud platform."
Azure Blob Storage,Adopt,Tools & Platforms,FALSE,"Azure Blob Storage is Microsoft's cloud-based object storage service. It offers scalable storage for unstructured data and is commonly used for data backups, archiving, and serving media files."
Azure Container Registry,Adopt,Tools & Platforms,FALSE,Azure Container Registry is a managed container registry service by Microsoft Azure. It enables the storage and management of container images for Docker and other container-based applications.
Azure Data Factory,Adopt,Tools & Platforms,FALSE,Azure Data Integration tool which can fetch data from anywhere and store it in cloud.
Azure Databricks,Adopt,Tools & Platforms,FALSE,"Databricks is an industry-leading, cloud-based data engineering tool used for processing and transforming massive quantities of data and exploring the data through machine learning models. This Apache-Spark based platform runs a distributed system behind the scenes, meaning the workload is automatically split across various processors and scales up and down on demand. Supported languages for manipulating data are Python, Scala, SQL and R."
Azure Datalake,Adopt,Tools & Platforms,FALSE,Azure Data Lake is a scalable and secure data lake storage service in Microsoft Azure. It allows you to store and analyze large volumes of data with high performance and offers features for data analytics and processing.
Azure DevOps,Adopt,Tools & Platforms,FALSE,"Azure DevOps is a set of development tools and services by Microsoft Azure for end-to-end software development, including source code management, build automation, testing, and release management."
Azure Event Hubs,Adopt,Tools & Platforms,FALSE,Data streaming platform for event ingestion. Provides users with more control and management options over underlying infrastructure. Recommended for streaming data onto persistent storage or into analytical systems.
Azure Functions,Adopt,Tools & Platforms,FALSE,"Azure Functions is a serverless compute service in Microsoft Azure. It allows developers to build and deploy event-driven, serverless functions that can respond to various triggers and events."
Azure Kubernetes Service,Adopt,Tools & Platforms,FALSE,"Azure Kubernetes Service (AKS) is a managed Kubernetes container orchestration service on Microsoft Azure. It simplifies the deployment, management, and scaling of containerized applications using Kubernetes."
Azure Monitor,Adopt,Tools & Platforms,FALSE,"Azure Monitor is a service provided by Microsoft Azure for monitoring and gaining insights into the performance and health of applications, infrastructure, and networks in the Azure cloud environment."
Azure SQL Database,Adopt,Tools & Platforms,FALSE,"Azure SQL Database is a managed relational database service in Azure. It is based on Microsoft SQL Server and is suitable for hosting relational databases for applications with scalability, high availability, and security requirements."
Azure Virtual Machines,Adopt,Tools & Platforms,FALSE,"Azure Virtual Machines (Azure VMs) are scalable, on-demand virtualized computing resources provided by Microsoft Azure. They allow you to run Windows or Linux-based virtual machines in the cloud."
Confluent Kafka,Adopt,Tools & Platforms,FALSE,"Confluent adds a bunch of “source available” (for the most part) software to a Kafka deployment in order to add capabilities. This includes Schema Registry, the Avro serializers, KSQL, REST Proxy and a few more."
dbt,Adopt,Tools & Platforms,FALSE,dbt (data build tool) is an open-source tool for transforming and modeling data in your data warehouse. It helps data engineers and analysts create and manage data transformations in a version-controlled manner.
Docker,Adopt,Software engineering,FALSE,"Docker is a platform for containerization, which allows developers to package applications and their dependencies into portable containers. These containers can run consistently across different environments, making it easier to build, ship, and run applications. Docker has revolutionized software deployment and is commonly used for microservices and continuous integration."
ELK stack,Adopt,Tools & Platforms,FALSE,"Elastic Stack is a group of open source products designed to help users take data from any type of source and in any format and search, analyze, and visualize that data in real time. The product group was formerly known as ELK Stack, in which the letters in the name stood for the products in the group: Elasticsearch, Logstash and Kibana. A fourth product, Beats, was subsequently added to the stack. Elastic Stack can be deployed on premises or made available as Software as a Service (SaaS)."
Flink,Adopt,Tools & Platforms,FALSE,Flink (Apache Flink) is an open-source stream processing framework for big data and event-driven applications. It provides low-latency and high-throughput data processing capabilities.
GCP BigQuery,Adopt,Tools & Platforms,FALSE,"Google BigQuery is a fully managed, serverless data warehouse and analytics platform in Google Cloud. It allows users to run super-fast SQL queries on large datasets for data analysis and business intelligence."
GCP CloudFunctions,Adopt,Tools & Platforms,FALSE,"Google Cloud Functions is a serverless compute service in Google Cloud. It allows you to run single-purpose, event-driven functions in response to cloud events, making it easy to build and deploy serverless applications."
GCP CloudRun,Adopt,Tools & Platforms,FALSE,Google Cloud Run is a fully managed platform for running containerized applications. It enables developers to deploy containerized applications quickly and automatically scales them based on incoming requests.
GCP Composer,Adopt,Tools & Platforms,FALSE,Google's implementation of Airflow on Google Kubernetes Engine offers Airflow as a Service which is a great benefit for those not wanting to take care of every small aspect.
GCP Dataflow,Adopt,Tools & Platforms,FALSE,Fully-managed service for transforming and enriching data in stream (real time) and batch (historical) modes with equal reliability and expressivenes.
GCP Firebase,Adopt,Tools & Platforms,FALSE,"Firebase is a mobile and web application development platform by Google, providing tools for building, deploying, and managing apps. It includes features for real-time databases, authentication, and cloud hosting."
GCP GKE,Adopt,Tools & Platforms,FALSE,"Google Kubernetes Engine is a managed Kubernetes service by Google Cloud. It simplifies the deployment, management, and scaling of containerized applications using Kubernetes on the Google Cloud platform."
GCP PubSub,Adopt,Tools & Platforms,FALSE,Pub/Sub is an asynchronous messaging service that decouples services that produce events from services that process events. You can use Pub/Sub as messaging-oriented middleware or event ingestion and delivery for streaming analytics pipelines. Pub/Sub offers durable message storage and real-time message delivery with high availability and consistent performance at scale.
Github,Adopt,Tools & Platforms,FALSE,"GitHub is a web-based platform for hosting and collaborating on software projects. It provides version control, issue tracking, and other features for software development."
Github Actions,Adopt,Tools & Platforms,FALSE,"GitHub Actions is an automation and CI/CD platform provided by GitHub. It enables developers to automate workflows, including build, test, and deployment processes, directly from their GitHub repositories."
Google Compute Engine,Adopt,Tools & Platforms,FALSE,Google Compute Engine is a virtual machine service by Google Cloud that allows users to run virtualized servers on Google's infrastructure. It is part of Google Cloud Platform.
Google Container Registry,Adopt,Tools & Platforms,FALSE,"Google Container Registry is a managed container image registry service by Google Cloud, used for storing and distributing Docker container images."
Grafana,Adopt,Tools & Platforms,FALSE,"Grafana allows you to query, visualize, alert on and understand your metrics no matter where they are stored. Create, explore, and share dashboards with your team and foster a data driven culture."
PostgreSQL,Adopt,Data & AI,FALSE,"PostgreSQL is an open-source relational database management system. It is known for its extensibility, data integrity, and support for advanced features. PostgreSQL is widely used in both small and large-scale applications for data storage and retrieval."
PowerBI,Adopt,Tools & Platforms,FALSE,Powerful yet easy to use visualization tool which grew from Excel add-ons into a standalone platform where you can easily create reports and dashboards on your desktop and publish them on servers or in Cloud.
Prometheus,Adopt,Tools & Platforms,FALSE,"Prometheus is an open-source monitoring and alerting toolkit designed for reliability and scalability. It is widely used for collecting and storing time-series data, as well as alerting based on that data. Prometheus is particularly popular in the cloud-native and containerized application environments."
Redis,Adopt,Tools & Platforms,FALSE,"Redis is an open-source, high-performance, in-memory data store. It is commonly used for caching, real-time analytics, message brokering, and various data-intensive applications that require fast data retrieval."
Snowflake,Adopt,Tools & Platforms,FALSE,"Snowflake is a cloud-based data warehousing platform known for its ease of use, scalability, and performance. It enables organizations to store, analyze, and share data in a data warehouse as a service."
Spark,Adopt,Tools & Platforms,FALSE,"Spark (Apache Spark) is a fast, in-memory data processing framework used for big data analytics, machine learning, and real-time processing."
Amazon CloudFormation,Asses,Tools & Platforms,FALSE,Retrieving data. Wait a few seconds and try to cut or copy again.
Amazon Elastic Beanstalk,Asses,Tools & Platforms,FALSE,Amazon Elastic Beanstalk is Amazon Elastic Beanstalk is a platform-as-a-service (PaaS) that simplifies the deployment and management of web applications and services. It supports various programming languages and frameworks.
Amazon Kinesis,Asses,Tools & Platforms,FALSE,"Amazon Kinesis is a managed, scalable, cloud-based service that allows real-time processing of streaming large amount of data per second. Still has performance issues and is from from being as performant as Kafka."
Ansible,Asses,Tools & Platforms,FALSE,"Ansible is an open-source automation tool that simplifies application deployment, configuration management, and task automation. It is often used for orchestrating IT tasks and infrastructure provisioning."
Apache Camel,Asses,Tools & Platforms,FALSE,Apache Camel is an open-source integration framework that provides a set of routing and mediation rules to facilitate the integration of different systems and applications. It supports a wide range of protocols and data formats.
Azure App Service,Asses,Tools & Platforms,FALSE,"Azure App Service is a platform-as-a-service (PaaS) offering by Microsoft Azure that allows developers to build, deploy, and scale web applications and APIs. It supports various programming languages and frameworks."
Azure Service Bus,Asses,Tools & Platforms,FALSE,"A fully managed enterprise message broker with message queues and public-subscribe topics. Service Bus is used to decouple applications and services from each other, providing load-balancing work across competing workers, safe routing and transferring data and control across service and application boundaries and coordinating transactional work that requires a high-degree of reliability."
ChatGPT,Asses,Tools & Platforms,FALSE,"ChatGPT is a language model developed by OpenAI, based on the GPT-3.5 architecture. It can generate human-like text and is used for various natural language processing tasks."
GCP Dataprep,Asses,Tools & Platforms,FALSE,"An intelligent data service for visually exploring, cleaning, and preparing structured and unstructured data for analysis, reporting, and machine learning. Because Cloud Dataprep is serverless and works at any scale, there is no infrastructure to deploy or manage."
Google AlloyDB,Asses,Tools & Platforms,FALSE,"Google AlloyDB is a cloud-native, MySQL-compatible relational database service offered by Google Cloud. It is designed for high availability, scalability, and performance."
Google App Engine,Asses,Tools & Platforms,FALSE,"Google App Engine is a serverless platform for building and deploying applications. It abstracts infrastructure management, allowing developers to focus on code and applications."
MosquitoMQ,Asses,Tools & Platforms,FALSE,"MosquittoMQ is an open-source message broker that implements the MQTT protocol for lightweight, efficient, and real-time messaging between devices and applications."
Open-source LLMs for coding,Asses,Tools & Platforms,FALSE,"Open-source LLMs (Large Language Models) for coding are AI models, like GPT-3, fine-tuned for code generation and understanding, enabling code completion and code generation tasks."
Prefect,Asses,Tools & Platforms,FALSE,"Prefect is an open-source workflow management system for building, scheduling, and monitoring data workflows."
Pulsar,Asses,Tools & Platforms,FALSE,"Pulsar (Apache Pulsar) is an open-source, distributed messaging and event streaming platform known for its scalability and durability."
rabbitMQ,Asses,Tools & Platforms,FALSE,"rabbitMQ is an open-source message broker that implements various messaging protocols, facilitating the exchange of messages between applications and services."
Snyk,Asses,Tools & Platforms,FALSE,Snyk is a developer-first security platform that helps identify and fix vulnerabilities in open-source dependencies and code.
Tabnine,Asses,Tools & Platforms,FALSE,"TensorFlow is an open-source machine learning framework developed by Google, known for its flexibility and support for deep learning."
Terragrunt,Asses,Tools & Platforms,FALSE,"Terragrunt is an open-source wrapper for Terraform that simplifies the configuration of infrastructure as code and helps manage large, complex environments."
Azure Purview,Hold,Tools & Platforms,FALSE,"Azure Purview is a data governance service by Microsoft Azure that helps organizations discover, understand, and manage their data assets across the cloud and on-premises environments."
Azure Synapse,Hold,Tools & Platforms,FALSE,"Azure Synapse Analytics, formerly known as SQL Data Warehouse, is a cloud-based analytics service in Azure. It combines data warehousing and big data analytics, allowing users to analyze large volumes of data for insights and business intelligence."
Azure Synapse Analytics,Hold,Tools & Platforms,FALSE,"Azure Synapse Analytics, formerly known as SQL Data Warehouse, is a cloud-based analytics service in Azure. It combines data warehousing and big data analytics, allowing users to analyze large volumes of data for insights and business intelligence."
IBMMQ,Hold,Tools & Platforms,FALSE,"IBMMQ (IBM MQ) is a messaging middleware solution by IBM that facilitates communication between applications and systems, supporting various messaging patterns."
Powercenter Informatica,Hold,Tools & Platforms,FALSE,"Informatica PowerCenter is an enterprise extract, transform, and load (ETL) go to tool used in building on premise enterprise data warehouses."
